record_id,site_code,site_name,year,month,scope,basis,fuel_category,fuel_type,fuel_code,consumption_amount,consumption_unit,emission_factor_id,co2_tco2e,ch4_tco2e,n2o_tco2e,hfcs_tco2e,total_tco2e,data_quality,verification_body,verification_level,source_system,synced_at,created_at,updated_at,updated_by
GHG-S12-2024-0025,SITE-DC01,수원 데이터센터,2024,1,Scope1,시장기반,이동연소,경유,FUEL-DIESEL-01,35743.0,L,EF-DIESEL-2023,91.1146,1.409,1.409,0.0,93.9326,추정,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 09:46:00,user_ghg
GHG-S12-2024-0026,SITE-DC01,수원 데이터센터,2024,2,Scope1,시장기반,이동연소,경유,FUEL-DIESEL-01,34033.4,L,EF-DIESEL-2023,86.7566,1.3416,1.3416,0.0,89.4398,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 16:34:00,user_ghg
GHG-S12-2024-0027,SITE-DC01,수원 데이터센터,2024,3,Scope1,시장기반,이동연소,경유,FUEL-DIESEL-01,34649.0,L,EF-DIESEL-2023,88.3259,1.3659,1.3659,0.0,91.0576,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 10:59:00,user_ghg
GHG-S12-2024-0028,SITE-DC01,수원 데이터센터,2024,4,Scope1,시장기반,이동연소,경유,FUEL-DIESEL-01,35122.6,L,EF-DIESEL-2023,89.5331,1.3845,1.3845,0.0,92.3022,추정,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 15:05:00,user_ghg
GHG-S12-2024-0029,SITE-DC01,수원 데이터센터,2024,5,Scope1,시장기반,이동연소,경유,FUEL-DIESEL-01,34471.4,L,EF-DIESEL-2023,87.8731,1.3589,1.3589,0.0,90.5908,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 17:18:00,user_ghg
GHG-S12-2024-0030,SITE-DC01,수원 데이터센터,2024,6,Scope1,시장기반,이동연소,경유,FUEL-DIESEL-01,35243.6,L,EF-DIESEL-2023,89.8416,1.3893,1.3893,0.0,92.6202,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 14:36:00,user_ghg
GHG-S12-2024-0031,SITE-DC01,수원 데이터센터,2024,7,Scope1,시장기반,이동연소,경유,FUEL-DIESEL-01,34262.3,L,EF-DIESEL-2023,87.3401,1.3506,1.3506,0.0,90.0413,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 12:45:00,user_ghg
GHG-S12-2024-0032,SITE-DC01,수원 데이터센터,2024,8,Scope1,시장기반,이동연소,경유,FUEL-DIESEL-01,34968.7,L,EF-DIESEL-2023,89.1408,1.3785,1.3785,0.0,91.8977,추정,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 10:02:00,user_ghg
GHG-S12-2024-0033,SITE-DC01,수원 데이터센터,2024,9,Scope1,시장기반,이동연소,경유,FUEL-DIESEL-01,35141.6,L,EF-DIESEL-2023,89.5815,1.3853,1.3853,0.0,92.3521,추정,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 12:49:00,user_ghg
GHG-S12-2024-0034,SITE-DC01,수원 데이터센터,2024,10,Scope1,시장기반,이동연소,경유,FUEL-DIESEL-01,35820.8,L,EF-DIESEL-2023,91.313,1.4121,1.4121,0.0,94.1371,추정,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 13:05:00,user_ghg
GHG-S12-2024-0035,SITE-DC01,수원 데이터센터,2024,11,Scope1,시장기반,이동연소,경유,FUEL-DIESEL-01,34284.6,L,EF-DIESEL-2023,87.3969,1.3515,1.3515,0.0,90.0999,추정,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 12:55:00,user_ghg
GHG-S12-2024-0036,SITE-DC01,수원 데이터센터,2024,12,Scope1,시장기반,이동연소,경유,FUEL-DIESEL-01,34731.5,L,EF-DIESEL-2023,88.5362,1.3691,1.3691,0.0,91.2744,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 10:24:00,user_ghg
GHG-S12-2024-0037,SITE-DC01,수원 데이터센터,2024,1,Scope1,시장기반,이동연소,휘발유,FUEL-GASOLINE-01,13573.1,L,EF-GASOLINE-2023,29.8391,0.7771,0.4662,0.0,31.0824,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 13:29:00,user_ghg
GHG-S12-2024-0038,SITE-DC01,수원 데이터센터,2024,2,Scope1,시장기반,이동연소,휘발유,FUEL-GASOLINE-01,13438.7,L,EF-GASOLINE-2023,29.5436,0.7694,0.4616,0.0,30.7746,추정,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 14:10:00,user_ghg
GHG-S12-2024-0039,SITE-DC01,수원 데이터센터,2024,3,Scope1,시장기반,이동연소,휘발유,FUEL-GASOLINE-01,13841.9,L,EF-GASOLINE-2023,30.4301,0.7925,0.4755,0.0,31.698,추정,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 14:22:00,user_ghg
GHG-S12-2024-0040,SITE-DC01,수원 데이터센터,2024,4,Scope1,시장기반,이동연소,휘발유,FUEL-GASOLINE-01,13850.1,L,EF-GASOLINE-2023,30.448,0.7929,0.4758,0.0,31.7167,추정,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 12:42:00,user_ghg
GHG-S12-2024-0041,SITE-DC01,수원 데이터센터,2024,5,Scope1,시장기반,이동연소,휘발유,FUEL-GASOLINE-01,13828.5,L,EF-GASOLINE-2023,30.4006,0.7917,0.475,0.0,31.6673,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 13:44:00,user_ghg
GHG-S12-2024-0042,SITE-DC01,수원 데이터센터,2024,6,Scope1,시장기반,이동연소,휘발유,FUEL-GASOLINE-01,13518.2,L,EF-GASOLINE-2023,29.7184,0.7739,0.4644,0.0,30.9567,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 10:38:00,user_ghg
GHG-S12-2024-0043,SITE-DC01,수원 데이터센터,2024,7,Scope1,시장기반,이동연소,휘발유,FUEL-GASOLINE-01,13102.1,L,EF-GASOLINE-2023,28.8036,0.7501,0.4501,0.0,30.0038,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 11:34:00,user_ghg
GHG-S12-2024-0044,SITE-DC01,수원 데이터센터,2024,8,Scope1,시장기반,이동연소,휘발유,FUEL-GASOLINE-01,13245.5,L,EF-GASOLINE-2023,29.1189,0.7583,0.455,0.0,30.3322,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 12:10:00,user_ghg
GHG-S12-2024-0045,SITE-DC01,수원 데이터센터,2024,9,Scope1,시장기반,이동연소,휘발유,FUEL-GASOLINE-01,13211.6,L,EF-GASOLINE-2023,29.0444,0.7564,0.4538,0.0,30.2546,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 16:24:00,user_ghg
GHG-S12-2024-0046,SITE-DC01,수원 데이터센터,2024,10,Scope1,시장기반,이동연소,휘발유,FUEL-GASOLINE-01,13567.7,L,EF-GASOLINE-2023,29.8272,0.7768,0.466,0.0,31.07,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 13:59:00,user_ghg
GHG-S12-2024-0047,SITE-DC01,수원 데이터센터,2024,11,Scope1,시장기반,이동연소,휘발유,FUEL-GASOLINE-01,13850.6,L,EF-GASOLINE-2023,30.4492,0.7929,0.4758,0.0,31.7179,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 17:14:00,user_ghg
GHG-S12-2024-0048,SITE-DC01,수원 데이터센터,2024,12,Scope1,시장기반,이동연소,휘발유,FUEL-GASOLINE-01,13757.7,L,EF-GASOLINE-2023,30.2449,0.7876,0.4726,0.0,31.5051,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 14:53:00,user_ghg
GHG-S12-2024-0049,SITE-DC02,동탄 데이터센터,2024,1,Scope1,시장기반,탈루,HFC-410A,FUEL-HFC410A-01,324.5,kg,EF-HFC410A-2023,0.0,0.0,0.0,677.556,677.556,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 09:14:00,user_ghg
GHG-S12-2024-0050,SITE-DC02,동탄 데이터센터,2024,2,Scope1,시장기반,탈루,HFC-410A,FUEL-HFC410A-01,365.1,kg,EF-HFC410A-2023,0.0,0.0,0.0,762.3288,762.3288,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 09:51:00,user_ghg
GHG-S12-2024-0051,SITE-DC02,동탄 데이터센터,2024,3,Scope1,시장기반,탈루,HFC-410A,FUEL-HFC410A-01,470.9,kg,EF-HFC410A-2023,0.0,0.0,0.0,983.2392,983.2392,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 14:25:00,user_ghg
GHG-S12-2024-0052,SITE-DC02,동탄 데이터센터,2024,4,Scope1,시장기반,탈루,HFC-410A,FUEL-HFC410A-01,592.4,kg,EF-HFC410A-2023,0.0,0.0,0.0,1236.9312,1236.9312,추정,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 13:04:00,user_ghg
GHG-S12-2024-0053,SITE-DC02,동탄 데이터센터,2024,5,Scope1,시장기반,탈루,HFC-410A,FUEL-HFC410A-01,691.3,kg,EF-HFC410A-2023,0.0,0.0,0.0,1443.4344,1443.4344,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 12:58:00,user_ghg
GHG-S12-2024-0054,SITE-DC02,동탄 데이터센터,2024,6,Scope1,시장기반,탈루,HFC-410A,FUEL-HFC410A-01,785.1,kg,EF-HFC410A-2023,0.0,0.0,0.0,1639.2888,1639.2888,추정,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 14:13:00,user_ghg
GHG-S12-2024-0055,SITE-DC02,동탄 데이터센터,2024,7,Scope1,시장기반,탈루,HFC-410A,FUEL-HFC410A-01,822.8,kg,EF-HFC410A-2023,0.0,0.0,0.0,1718.0064,1718.0064,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 16:25:00,user_ghg
GHG-S12-2024-0056,SITE-DC02,동탄 데이터센터,2024,8,Scope1,시장기반,탈루,HFC-410A,FUEL-HFC410A-01,751.7,kg,EF-HFC410A-2023,0.0,0.0,0.0,1569.5496,1569.5496,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 16:09:00,user_ghg
GHG-S12-2024-0057,SITE-DC02,동탄 데이터센터,2024,9,Scope1,시장기반,탈루,HFC-410A,FUEL-HFC410A-01,656.4,kg,EF-HFC410A-2023,0.0,0.0,0.0,1370.5632,1370.5632,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 13:08:00,user_ghg
GHG-S12-2024-0058,SITE-DC02,동탄 데이터센터,2024,10,Scope1,시장기반,탈루,HFC-410A,FUEL-HFC410A-01,491.9,kg,EF-HFC410A-2023,0.0,0.0,0.0,1027.0872,1027.0872,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 12:47:00,user_ghg
GHG-S12-2024-0059,SITE-DC02,동탄 데이터센터,2024,11,Scope1,시장기반,탈루,HFC-410A,FUEL-HFC410A-01,382.5,kg,EF-HFC410A-2023,0.0,0.0,0.0,798.66,798.66,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 17:34:00,user_ghg
GHG-S12-2024-0060,SITE-DC02,동탄 데이터센터,2024,12,Scope1,시장기반,탈루,HFC-410A,FUEL-HFC410A-01,326.1,kg,EF-HFC410A-2023,0.0,0.0,0.0,680.8968,680.8968,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 13:47:00,user_ghg
GHG-S12-2024-0061,SITE-DC02,동탄 데이터센터,2024,1,Scope1,시장기반,고정연소,LNG,FUEL-LNG-01,1404749.7,Nm³,EF-LNG-2023,2934.8382,63.8669,42.578,0.0,3041.2831,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 15:57:00,user_ghg
GHG-S12-2024-0062,SITE-DC02,동탄 데이터센터,2024,2,Scope1,시장기반,고정연소,LNG,FUEL-LNG-01,1308265.1,Nm³,EF-LNG-2023,2733.2601,59.4803,39.6535,0.0,2832.3939,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 15:23:00,user_ghg
GHG-S12-2024-0063,SITE-DC02,동탄 데이터센터,2024,3,Scope1,시장기반,고정연소,LNG,FUEL-LNG-01,1107074.6,Nm³,EF-LNG-2023,2312.9279,50.3331,33.5554,0.0,2396.8165,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 12:08:00,user_ghg
GHG-S12-2024-0064,SITE-DC02,동탄 데이터센터,2024,4,Scope1,시장기반,고정연소,LNG,FUEL-LNG-01,893698.7,Nm³,EF-LNG-2023,1867.1377,40.632,27.088,0.0,1934.8577,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 17:31:00,user_ghg
GHG-S12-2024-0065,SITE-DC02,동탄 데이터센터,2024,5,Scope1,시장기반,고정연소,LNG,FUEL-LNG-01,802521.1,Nm³,EF-LNG-2023,1676.6472,36.4866,24.3244,0.0,1737.4582,추정,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 10:48:00,user_ghg
GHG-S12-2024-0066,SITE-DC02,동탄 데이터센터,2024,6,Scope1,시장기반,고정연소,LNG,FUEL-LNG-01,725757.7,Nm³,EF-LNG-2023,1516.2711,32.9966,21.9977,0.0,1571.2654,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 09:55:00,user_ghg
GHG-S12-2024-0067,SITE-DC02,동탄 데이터센터,2024,7,Scope1,시장기반,고정연소,LNG,FUEL-LNG-01,726866.3,Nm³,EF-LNG-2023,1518.5872,33.047,22.0313,0.0,1573.6655,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 10:09:00,user_ghg
GHG-S12-2024-0068,SITE-DC02,동탄 데이터센터,2024,8,Scope1,시장기반,고정연소,LNG,FUEL-LNG-01,830470.9,Nm³,EF-LNG-2023,1735.0406,37.7574,25.1716,0.0,1797.9695,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 11:50:00,user_ghg
GHG-S12-2024-0069,SITE-DC02,동탄 데이터센터,2024,9,Scope1,시장기반,고정연소,LNG,FUEL-LNG-01,920398.6,Nm³,EF-LNG-2023,1922.9198,41.8459,27.8973,0.0,1992.663,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 15:38:00,user_ghg
GHG-S12-2024-0070,SITE-DC02,동탄 데이터센터,2024,10,Scope1,시장기반,고정연소,LNG,FUEL-LNG-01,1022545.8,Nm³,EF-LNG-2023,2136.3283,46.49,30.9934,0.0,2213.8117,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 10:24:00,user_ghg
GHG-S12-2024-0071,SITE-DC02,동탄 데이터센터,2024,11,Scope1,시장기반,고정연소,LNG,FUEL-LNG-01,1136080.5,Nm³,EF-LNG-2023,2373.5278,51.6519,34.4346,0.0,2459.6143,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 15:38:00,user_ghg
GHG-S12-2024-0072,SITE-DC02,동탄 데이터센터,2024,12,Scope1,시장기반,고정연소,LNG,FUEL-LNG-01,1311715.9,Nm³,EF-LNG-2023,2740.4696,59.6372,39.7581,0.0,2839.8649,추정,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 16:33:00,user_ghg
GHG-S12-2024-0073,SITE-DC02,동탄 데이터센터,2024,1,Scope1,시장기반,이동연소,경유,FUEL-DIESEL-01,28111.1,L,EF-DIESEL-2023,71.6597,1.1081,1.1081,0.0,73.876,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 13:35:00,user_ghg
GHG-S12-2024-0074,SITE-DC02,동탄 데이터센터,2024,2,Scope1,시장기반,이동연소,경유,FUEL-DIESEL-01,28010.0,L,EF-DIESEL-2023,71.402,1.1042,1.1042,0.0,73.6103,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 09:43:00,user_ghg
GHG-S12-2024-0075,SITE-DC02,동탄 데이터센터,2024,3,Scope1,시장기반,이동연소,경유,FUEL-DIESEL-01,29078.2,L,EF-DIESEL-2023,74.125,1.1463,1.1463,0.0,76.4175,추정,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 10:43:00,user_ghg
