record_id,site_code,site_name,year,month,re_type,re_source,generation_kwh,consumption_kwh,certificate_type,certificate_volume_rec,certificate_cost_krw,co2_reduction_tco2e,grid_displacement_factor,meter_id,source_system,synced_at,created_at,updated_at,updated_by
RE-2024-0011,SITE-DC01,수원 데이터센터,2024,11,태양열(집열기),태양열금탕,1598,1598,자가생산,1.598,127840,0.734,0.4596,MTR-DC01-RE-11,EMS,2024-12-05 08:00:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_dc
RE-2024-0012,SITE-DC01,수원 데이터센터,2024,12,태양열(집열기),태양열금탕,1744,1744,자가생산,1.744,139520,0.802,0.4596,MTR-DC01-RE-12,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 10:00:00,user_dc
RE-2024-0013,SITE-DC01,수원 데이터센터,2024,1,태양광(PV),태양광발전설비,2855,2855,자가생산,2.855,228400,1.312,0.4596,MTR-DC01-RE-13,EMS,2024-02-05 08:00:00,2024-02-05 09:00:00,2024-02-10 10:00:00,user_dc
RE-2024-0014,SITE-DC01,수원 데이터센터,2024,2,태양광(PV),태양광발전설비,3569,3569,자가생산,3.569,285520,1.64,0.4596,MTR-DC01-RE-14,EMS,2024-03-05 08:00:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_dc
RE-2024-0015,SITE-DC01,수원 데이터센터,2024,3,태양광(PV),태양광발전설비,5710,5710,자가생산,5.71,456800,2.624,0.4596,MTR-DC01-RE-15,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
RE-2024-0016,SITE-DC01,수원 데이터센터,2024,4,태양광(PV),태양광발전설비,7138,7138,자가생산,7.138,571040,3.281,0.4596,MTR-DC01-RE-16,EMS,2024-05-05 08:00:00,2024-05-05 09:00:00,2024-05-10 10:00:00,user_dc
RE-2024-0017,SITE-DC01,수원 데이터센터,2024,5,태양광(PV),태양광발전설비,8566,8566,자가생산,8.566,685280,3.937,0.4596,MTR-DC01-RE-17,EMS,2024-06-05 08:00:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_dc
RE-2024-0018,SITE-DC01,수원 데이터센터,2024,6,태양광(PV),태양광발전설비,9279,9279,자가생산,9.279,742320,4.265,0.4596,MTR-DC01-RE-18,EMS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 10:00:00,user_dc
RE-2024-0019,SITE-DC01,수원 데이터센터,2024,7,태양광(PV),태양광발전설비,8566,8566,자가생산,8.566,685280,3.937,0.4596,MTR-DC01-RE-19,EMS,2024-08-05 08:00:00,2024-08-05 09:00:00,2024-08-10 10:00:00,user_dc
RE-2024-0020,SITE-DC01,수원 데이터센터,2024,8,태양광(PV),태양광발전설비,7852,7852,자가생산,7.852,628160,3.609,0.4596,MTR-DC01-RE-20,EMS,2024-09-05 08:00:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_dc
RE-2024-0021,SITE-DC01,수원 데이터센터,2024,9,태양광(PV),태양광발전설비,6424,6424,자가생산,6.424,513920,2.952,0.4596,MTR-DC01-RE-21,EMS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 10:00:00,user_dc
RE-2024-0022,SITE-DC01,수원 데이터센터,2024,10,태양광(PV),태양광발전설비,5710,5710,자가생산,5.71,456800,2.624,0.4596,MTR-DC01-RE-22,EMS,2024-11-05 08:00:00,2024-11-05 09:00:00,2024-11-10 10:00:00,user_dc
RE-2024-0023,SITE-DC01,수원 데이터센터,2024,11,태양광(PV),태양광발전설비,3569,3569,자가생산,3.569,285520,1.64,0.4596,MTR-DC01-RE-23,EMS,2024-12-05 08:00:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_dc
RE-2024-0024,SITE-DC01,수원 데이터센터,2024,12,태양광(PV),태양광발전설비,2141,2141,자가생산,2.141,171280,0.984,0.4596,MTR-DC01-RE-24,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 10:00:00,user_dc
RE-2024-0025,SITE-DC03,상암 데이터센터,2024,1,태양광(PV),태양광발전설비,2237,2237,자가생산,2.237,178960,1.028,0.4596,MTR-DC03-RE-25,EMS,2024-02-05 08:00:00,2024-02-05 09:00:00,2024-02-10 10:00:00,user_dc
RE-2024-0026,SITE-DC03,상암 데이터센터,2024,2,태양광(PV),태양광발전설비,2796,2796,자가생산,2.796,223680,1.285,0.4596,MTR-DC03-RE-26,EMS,2024-03-05 08:00:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_dc
RE-2024-0027,SITE-DC03,상암 데이터센터,2024,3,태양광(PV),태양광발전설비,4474,4474,자가생산,4.474,357920,2.056,0.4596,MTR-DC03-RE-27,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
RE-2024-0028,SITE-DC03,상암 데이터센터,2024,4,태양광(PV),태양광발전설비,5592,5592,자가생산,5.592,447360,2.57,0.4596,MTR-DC03-RE-28,EMS,2024-05-05 08:00:00,2024-05-05 09:00:00,2024-05-10 10:00:00,user_dc
RE-2024-0029,SITE-DC03,상암 데이터센터,2024,5,태양광(PV),태양광발전설비,6710,6710,자가생산,6.71,536800,3.084,0.4596,MTR-DC03-RE-29,EMS,2024-06-05 08:00:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_dc
RE-2024-0030,SITE-DC03,상암 데이터센터,2024,6,태양광(PV),태양광발전설비,7270,7270,자가생산,7.27,581600,3.341,0.4596,MTR-DC03-RE-30,EMS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 10:00:00,user_dc
RE-2024-0031,SITE-DC03,상암 데이터센터,2024,7,태양광(PV),태양광발전설비,6710,6710,자가생산,6.71,536800,3.084,0.4596,MTR-DC03-RE-31,EMS,2024-08-05 08:00:00,2024-08-05 09:00:00,2024-08-10 10:00:00,user_dc
RE-2024-0032,SITE-DC03,상암 데이터센터,2024,8,태양광(PV),태양광발전설비,6151,6151,자가생산,6.151,492080,2.827,0.4596,MTR-DC03-RE-32,EMS,2024-09-05 08:00:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_dc
RE-2024-0033,SITE-DC03,상암 데이터센터,2024,9,태양광(PV),태양광발전설비,5033,5033,자가생산,5.033,402640,2.313,0.4596,MTR-DC03-RE-33,EMS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 10:00:00,user_dc
RE-2024-0034,SITE-DC03,상암 데이터센터,2024,10,태양광(PV),태양광발전설비,4474,4474,자가생산,4.474,357920,2.056,0.4596,MTR-DC03-RE-34,EMS,2024-11-05 08:00:00,2024-11-05 09:00:00,2024-11-10 10:00:00,user_dc
RE-2024-0035,SITE-DC03,상암 데이터센터,2024,11,태양광(PV),태양광발전설비,2796,2796,자가생산,2.796,223680,1.285,0.4596,MTR-DC03-RE-35,EMS,2024-12-05 08:00:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_dc
RE-2024-0036,SITE-DC03,상암 데이터센터,2024,12,태양광(PV),태양광발전설비,1678,1678,자가생산,1.678,134240,0.771,0.4596,MTR-DC03-RE-36,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 10:00:00,user_dc
RE-2024-0037,SITE-DC03,상암 데이터센터,2024,1,지열(GSHP),지열히트펌프,56978,56978,자가생산,56.978,4558240,26.187,0.4596,MTR-DC03-RE-37,EMS,2024-02-05 08:00:00,2024-02-05 09:00:00,2024-02-10 10:00:00,user_dc
RE-2024-0038,SITE-DC03,상암 데이터센터,2024,2,지열(GSHP),지열히트펌프,52230,52230,자가생산,52.23,4178400,24.005,0.4596,MTR-DC03-RE-38,EMS,2024-03-05 08:00:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_dc
RE-2024-0039,SITE-DC03,상암 데이터센터,2024,3,지열(GSHP),지열히트펌프,42734,42734,자가생산,42.734,3418720,19.641,0.4596,MTR-DC03-RE-39,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
RE-2024-0040,SITE-DC03,상암 데이터센터,2024,4,지열(GSHP),지열히트펌프,33237,33237,자가생산,33.237,2658960,15.276,0.4596,MTR-DC03-RE-40,EMS,2024-05-05 08:00:00,2024-05-05 09:00:00,2024-05-10 10:00:00,user_dc
RE-2024-0041,SITE-DC03,상암 데이터센터,2024,5,지열(GSHP),지열히트펌프,28489,28489,자가생산,28.489,2279120,13.094,0.4596,MTR-DC03-RE-41,EMS,2024-06-05 08:00:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_dc
RE-2024-0042,SITE-DC03,상암 데이터센터,2024,6,지열(GSHP),지열히트펌프,23741,23741,자가생산,23.741,1899280,10.911,0.4596,MTR-DC03-RE-42,EMS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 10:00:00,user_dc
RE-2024-0043,SITE-DC03,상암 데이터센터,2024,7,지열(GSHP),지열히트펌프,23741,23741,자가생산,23.741,1899280,10.911,0.4596,MTR-DC03-RE-43,EMS,2024-08-05 08:00:00,2024-08-05 09:00:00,2024-08-10 10:00:00,user_dc
RE-2024-0044,SITE-DC03,상암 데이터센터,2024,8,지열(GSHP),지열히트펌프,28489,28489,자가생산,28.489,2279120,13.094,0.4596,MTR-DC03-RE-44,EMS,2024-09-05 08:00:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_dc
RE-2024-0045,SITE-DC03,상암 데이터센터,2024,9,지열(GSHP),지열히트펌프,37986,37986,자가생산,37.986,3038880,17.458,0.4596,MTR-DC03-RE-45,EMS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 10:00:00,user_dc
RE-2024-0046,SITE-DC03,상암 데이터센터,2024,10,지열(GSHP),지열히트펌프,47482,47482,자가생산,47.482,3798560,21.823,0.4596,MTR-DC03-RE-46,EMS,2024-11-05 08:00:00,2024-11-05 09:00:00,2024-11-10 10:00:00,user_dc
RE-2024-0047,SITE-DC03,상암 데이터센터,2024,11,지열(GSHP),지열히트펌프,47482,47482,자가생산,47.482,3798560,21.823,0.4596,MTR-DC03-RE-47,EMS,2024-12-05 08:00:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_dc
RE-2024-0048,SITE-DC03,상암 데이터센터,2024,12,지열(GSHP),지열히트펌프,52230,52230,자가생산,52.23,4178400,24.005,0.4596,MTR-DC03-RE-48,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 10:00:00,user_dc
RE-2024-0049,SITE-DC04,춘천 데이터센터,2024,1,태양광(PV),태양광발전설비,9228,9228,자가생산,9.228,738240,4.241,0.4596,MTR-DC04-RE-49,EMS,2024-02-05 08:00:00,2024-02-05 09:00:00,2024-02-10 10:00:00,user_dc
RE-2024-0050,SITE-DC04,춘천 데이터센터,2024,2,태양광(PV),태양광발전설비,11536,11536,자가생산,11.536,922880,5.302,0.4596,MTR-DC04-RE-50,EMS,2024-03-05 08:00:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_dc
RE-2024-0051,SITE-DC04,춘천 데이터센터,2024,3,태양광(PV),태양광발전설비,18457,18457,자가생산,18.457,1476560,8.483,0.4596,MTR-DC04-RE-51,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
RE-2024-0052,SITE-DC04,춘천 데이터센터,2024,4,태양광(PV),태양광발전설비,23071,23071,자가생산,23.071,1845680,10.603,0.4596,MTR-DC04-RE-52,EMS,2024-05-05 08:00:00,2024-05-05 09:00:00,2024-05-10 10:00:00,user_dc
RE-2024-0053,SITE-DC04,춘천 데이터센터,2024,5,태양광(PV),태양광발전설비,27685,27685,자가생산,27.685,2214800,12.724,0.4596,MTR-DC04-RE-53,EMS,2024-06-05 08:00:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_dc
RE-2024-0054,SITE-DC04,춘천 데이터센터,2024,6,태양광(PV),태양광발전설비,29992,29992,자가생산,29.992,2399360,13.784,0.4596,MTR-DC04-RE-54,EMS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 10:00:00,user_dc
RE-2024-0055,SITE-DC04,춘천 데이터센터,2024,7,태양광(PV),태양광발전설비,27685,27685,자가생산,27.685,2214800,12.724,0.4596,MTR-DC04-RE-55,EMS,2024-08-05 08:00:00,2024-08-05 09:00:00,2024-08-10 10:00:00,user_dc
RE-2024-0056,SITE-DC04,춘천 데이터센터,2024,8,태양광(PV),태양광발전설비,25378,25378,자가생산,25.378,2030240,11.664,0.4596,MTR-DC04-RE-56,EMS,2024-09-05 08:00:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_dc
RE-2024-0057,SITE-DC04,춘천 데이터센터,2024,9,태양광(PV),태양광발전설비,20764,20764,자가생산,20.764,1661120,9.543,0.4596,MTR-DC04-RE-57,EMS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 10:00:00,user_dc
RE-2024-0058,SITE-DC04,춘천 데이터센터,2024,10,태양광(PV),태양광발전설비,18457,18457,자가생산,18.457,1476560,8.483,0.4596,MTR-DC04-RE-58,EMS,2024-11-05 08:00:00,2024-11-05 09:00:00,2024-11-10 10:00:00,user_dc
RE-2024-0059,SITE-DC04,춘천 데이터센터,2024,11,태양광(PV),태양광발전설비,11536,11536,자가생산,11.536,922880,5.302,0.4596,MTR-DC04-RE-59,EMS,2024-12-05 08:00:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_dc
RE-2024-0060,SITE-DC04,춘천 데이터센터,2024,12,태양광(PV),태양광발전설비,6921,6921,자가생산,6.921,553680,3.181,0.4596,MTR-DC04-RE-60,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 10:00:00,user_dc
RE-2024-0061,SITE-DC02,동탄 데이터센터,2024,1,태양광(PV),태양광발전설비,22231,22231,자가생산,22.231,1778480,10.217,0.4596,MTR-DC02-RE-61,EMS,2024-02-05 08:00:00,2024-02-05 09:00:00,2024-02-10 10:00:00,user_dc
RE-2024-0062,SITE-DC02,동탄 데이터센터,2024,2,태양광(PV),태양광발전설비,27788,27788,자가생산,27.788,2223040,12.771,0.4596,MTR-DC02-RE-62,EMS,2024-03-05 08:00:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_dc
RE-2024-0063,SITE-DC02,동탄 데이터센터,2024,3,태양광(PV),태양광발전설비,44462,44462,자가생산,44.462,3556960,20.435,0.4596,MTR-DC02-RE-63,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
RE-2024-0064,SITE-DC02,동탄 데이터센터,2024,4,태양광(PV),태양광발전설비,55577,55577,자가생산,55.577,4446160,25.543,0.4596,MTR-DC02-RE-64,EMS,2024-05-05 08:00:00,2024-05-05 09:00:00,2024-05-10 10:00:00,user_dc
RE-2024-0065,SITE-DC02,동탄 데이터센터,2024,5,태양광(PV),태양광발전설비,66692,66692,자가생산,66.692,5335360,30.652,0.4596,MTR-DC02-RE-65,EMS,2024-06-05 08:00:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_dc
RE-2024-0066,SITE-DC02,동탄 데이터센터,2024,6,태양광(PV),태양광발전설비,72250,72250,자가생산,72.25,5780000,33.206,0.4596,MTR-DC02-RE-66,EMS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 10:00:00,user_dc
RE-2024-0067,SITE-DC02,동탄 데이터센터,2024,7,태양광(PV),태양광발전설비,66692,66692,자가생산,66.692,5335360,30.652,0.4596,MTR-DC02-RE-67,EMS,2024-08-05 08:00:00,2024-08-05 09:00:00,2024-08-10 10:00:00,user_dc
RE-2024-0068,SITE-DC02,동탄 데이터센터,2024,8,태양광(PV),태양광발전설비,61135,61135,자가생산,61.135,4890800,28.098,0.4596,MTR-DC02-RE-68,EMS,2024-09-05 08:00:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_dc
RE-2024-0069,SITE-DC02,동탄 데이터센터,2024,9,태양광(PV),태양광발전설비,50019,50019,자가생산,50.019,4001520,22.989,0.4596,MTR-DC02-RE-69,EMS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 10:00:00,user_dc
RE-2024-0070,SITE-DC02,동탄 데이터센터,2024,10,태양광(PV),태양광발전설비,44462,44462,자가생산,44.462,3556960,20.435,0.4596,MTR-DC02-RE-70,EMS,2024-11-05 08:00:00,2024-11-05 09:00:00,2024-11-10 10:00:00,user_dc
RE-2024-0071,SITE-DC02,동탄 데이터센터,2024,11,태양광(PV),태양광발전설비,27788,27788,자가생산,27.788,2223040,12.771,0.4596,MTR-DC02-RE-71,EMS,2024-12-05 08:00:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_dc
RE-2024-0072,SITE-DC02,동탄 데이터센터,2024,12,태양광(PV),태양광발전설비,16673,16673,자가생산,16.673,1333840,7.663,0.4596,MTR-DC02-RE-72,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 10:00:00,user_dc
