record_id,site_code,site_name,year,month,total_energy_kwh,it_load_kwh,cooling_energy_kwh,other_energy_kwh,pue_monthly,dcu_average,wue_l_kwh,server_count,rack_count,avg_rack_density_kw,uptime_pct,co2_intensity_gco2_kwh,source_system,synced_at,created_at,updated_at,updated_by
DC-PUE-2024-0011,SITE-DC01,수원 데이터센터,2024,11,26292130,22187451,4104679,0,1.185,1.1613,1.2,8500,520,38.5,99.97,459.6,EMS,2024-12-05 08:00:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_dc
DC-PUE-2024-0012,SITE-DC01,수원 데이터센터,2024,12,27365278,23289598,4075680,0,1.175,1.1515,1.2,8500,520,38.5,99.97,459.6,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 10:00:00,user_dc
DC-PUE-2024-0013,SITE-DC02,동탄 데이터센터,2024,1,19565972,17088185,2477787,0,1.145,1.1221,1.2,7200,460,39.1,99.97,459.6,EMS,2024-02-05 08:00:00,2024-02-05 09:00:00,2024-02-10 10:00:00,user_dc
DC-PUE-2024-0014,SITE-DC02,동탄 데이터센터,2024,2,19006944,16599951,2406993,0,1.145,1.1221,1.2,7200,460,39.1,99.97,459.6,EMS,2024-03-05 08:00:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_dc
DC-PUE-2024-0015,SITE-DC02,동탄 데이터센터,2024,3,17888889,15488216,2400673,0,1.155,1.1319,1.2,7200,460,39.1,99.97,459.6,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
DC-PUE-2024-0016,SITE-DC02,동탄 데이터센터,2024,4,17143519,14842874,2300645,0,1.155,1.1319,1.2,7200,460,39.1,99.97,459.6,EMS,2024-05-05 08:00:00,2024-05-05 09:00:00,2024-05-10 10:00:00,user_dc
DC-PUE-2024-0017,SITE-DC02,동탄 데이터센터,2024,5,17702546,15326880,2375666,0,1.155,1.1319,1.2,7200,460,39.1,99.97,459.6,EMS,2024-06-05 08:00:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_dc
DC-PUE-2024-0018,SITE-DC02,동탄 데이터센터,2024,6,20125000,17156863,2968137,0,1.173,1.1495,1.6,7200,460,39.1,99.95,459.6,EMS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 10:00:00,user_dc
DC-PUE-2024-0019,SITE-DC02,동탄 데이터센터,2024,7,21429398,18268882,3160516,0,1.173,1.1495,1.6,7200,460,39.1,99.95,459.6,EMS,2024-08-05 08:00:00,2024-08-05 09:00:00,2024-08-10 10:00:00,user_dc
DC-PUE-2024-0020,SITE-DC02,동탄 데이터센터,2024,8,21243056,18110022,3133034,0,1.173,1.1495,1.6,7200,460,39.1,99.95,459.6,EMS,2024-09-05 08:00:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_dc
DC-PUE-2024-0021,SITE-DC02,동탄 데이터센터,2024,9,18261574,15810887,2450687,0,1.155,1.1319,1.2,7200,460,39.1,99.97,459.6,EMS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 10:00:00,user_dc
DC-PUE-2024-0022,SITE-DC02,동탄 데이터센터,2024,10,17702546,15326880,2375666,0,1.155,1.1319,1.2,7200,460,39.1,99.97,459.6,EMS,2024-11-05 08:00:00,2024-11-05 09:00:00,2024-11-10 10:00:00,user_dc
DC-PUE-2024-0023,SITE-DC02,동탄 데이터센터,2024,11,18261574,15810887,2450687,0,1.155,1.1319,1.2,7200,460,39.1,99.97,459.6,EMS,2024-12-05 08:00:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_dc
DC-PUE-2024-0024,SITE-DC02,동탄 데이터센터,2024,12,19006944,16599951,2406993,0,1.145,1.1221,1.2,7200,460,39.1,99.97,459.6,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 10:00:00,user_dc
DC-PUE-2024-0025,SITE-DC03,상암 데이터센터,2024,1,2381944,1960448,421496,0,1.215,1.1907,1.2,4800,310,38.7,99.97,459.6,EMS,2024-02-05 08:00:00,2024-02-05 09:00:00,2024-02-10 10:00:00,user_dc
DC-PUE-2024-0026,SITE-DC03,상암 데이터센터,2024,2,2313889,1904435,409454,0,1.215,1.1907,1.2,4800,310,38.7,99.97,459.6,EMS,2024-03-05 08:00:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_dc
DC-PUE-2024-0027,SITE-DC03,상암 데이터센터,2024,3,2177778,1777778,400000,0,1.225,1.2005,1.2,4800,310,38.7,99.97,459.6,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
DC-PUE-2024-0028,SITE-DC03,상암 데이터센터,2024,4,2087037,1703704,383333,0,1.225,1.2005,1.2,4800,310,38.7,99.97,459.6,EMS,2024-05-05 08:00:00,2024-05-05 09:00:00,2024-05-10 10:00:00,user_dc
DC-PUE-2024-0029,SITE-DC03,상암 데이터센터,2024,5,2155093,1759260,395833,0,1.225,1.2005,1.2,4800,310,38.7,99.97,459.6,EMS,2024-06-05 08:00:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_dc
DC-PUE-2024-0030,SITE-DC03,상암 데이터센터,2024,6,2450000,1971038,478962,0,1.243,1.2181,1.6,4800,310,38.7,99.95,459.6,EMS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 10:00:00,user_dc
DC-PUE-2024-0031,SITE-DC03,상암 데이터센터,2024,7,2608796,2098790,510006,0,1.243,1.2181,1.6,4800,310,38.7,99.95,459.6,EMS,2024-08-05 08:00:00,2024-08-05 09:00:00,2024-08-10 10:00:00,user_dc
DC-PUE-2024-0032,SITE-DC03,상암 데이터센터,2024,8,2586111,2080540,505571,0,1.243,1.2181,1.6,4800,310,38.7,99.95,459.6,EMS,2024-09-05 08:00:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_dc
DC-PUE-2024-0033,SITE-DC03,상암 데이터센터,2024,9,2223148,1814815,408333,0,1.225,1.2005,1.2,4800,310,38.7,99.97,459.6,EMS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 10:00:00,user_dc
DC-PUE-2024-0034,SITE-DC03,상암 데이터센터,2024,10,2155093,1759260,395833,0,1.225,1.2005,1.2,4800,310,38.7,99.97,459.6,EMS,2024-11-05 08:00:00,2024-11-05 09:00:00,2024-11-10 10:00:00,user_dc
DC-PUE-2024-0035,SITE-DC03,상암 데이터센터,2024,11,2223148,1814815,408333,0,1.225,1.2005,1.2,4800,310,38.7,99.97,459.6,EMS,2024-12-05 08:00:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_dc
DC-PUE-2024-0036,SITE-DC03,상암 데이터센터,2024,12,2313889,1904435,409454,0,1.215,1.1907,1.2,4800,310,38.7,99.97,459.6,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 10:00:00,user_dc
DC-PUE-2024-0037,SITE-DC04,춘천 데이터센터,2024,1,8385417,7241293,1144124,0,1.158,1.1348,1.2,6100,390,38.5,99.97,459.6,EMS,2024-02-05 08:00:00,2024-02-05 09:00:00,2024-02-10 10:00:00,user_dc
DC-PUE-2024-0038,SITE-DC04,춘천 데이터센터,2024,2,8145833,7034398,1111435,0,1.158,1.1348,1.2,6100,390,38.5,99.97,459.6,EMS,2024-03-05 08:00:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_dc
DC-PUE-2024-0039,SITE-DC04,춘천 데이터센터,2024,3,7666667,6563927,1102740,0,1.168,1.1446,1.2,6100,390,38.5,99.97,459.6,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
DC-PUE-2024-0040,SITE-DC04,춘천 데이터센터,2024,4,7347222,6290430,1056792,0,1.168,1.1446,1.2,6100,390,38.5,99.97,459.6,EMS,2024-05-05 08:00:00,2024-05-05 09:00:00,2024-05-10 10:00:00,user_dc
DC-PUE-2024-0041,SITE-DC04,춘천 데이터센터,2024,5,7586806,6495553,1091253,0,1.168,1.1446,1.2,6100,390,38.5,99.97,459.6,EMS,2024-06-05 08:00:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_dc
DC-PUE-2024-0042,SITE-DC04,춘천 데이터센터,2024,6,8625000,7272344,1352656,0,1.186,1.1623,1.6,6100,390,38.5,99.95,459.6,EMS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 10:00:00,user_dc
DC-PUE-2024-0043,SITE-DC04,춘천 데이터센터,2024,7,9184028,7743700,1440328,0,1.186,1.1623,1.6,6100,390,38.5,99.95,459.6,EMS,2024-08-05 08:00:00,2024-08-05 09:00:00,2024-08-10 10:00:00,user_dc
DC-PUE-2024-0044,SITE-DC04,춘천 데이터센터,2024,8,9104167,7676363,1427804,0,1.186,1.1623,1.6,6100,390,38.5,99.95,459.6,EMS,2024-09-05 08:00:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_dc
DC-PUE-2024-0045,SITE-DC04,춘천 데이터센터,2024,9,7826389,6700676,1125713,0,1.168,1.1446,1.2,6100,390,38.5,99.97,459.6,EMS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 10:00:00,user_dc
DC-PUE-2024-0046,SITE-DC04,춘천 데이터센터,2024,10,7586806,6495553,1091253,0,1.168,1.1446,1.2,6100,390,38.5,99.97,459.6,EMS,2024-11-05 08:00:00,2024-11-05 09:00:00,2024-11-10 10:00:00,user_dc
DC-PUE-2024-0047,SITE-DC04,춘천 데이터센터,2024,11,7826389,6700676,1125713,0,1.168,1.1446,1.2,6100,390,38.5,99.97,459.6,EMS,2024-12-05 08:00:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_dc
DC-PUE-2024-0048,SITE-DC04,춘천 데이터센터,2024,12,8145833,7034398,1111435,0,1.158,1.1348,1.2,6100,390,38.5,99.97,459.6,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 10:00:00,user_dc
DC-PUE-2024-0049,SITE-DC05,구미 데이터센터,2024,1,4131944,3486873,645071,0,1.185,1.1613,1.2,4200,270,37.0,99.97,459.6,EMS,2024-02-05 08:00:00,2024-02-05 09:00:00,2024-02-10 10:00:00,user_dc
DC-PUE-2024-0050,SITE-DC05,구미 데이터센터,2024,2,4013889,3387248,626641,0,1.185,1.1613,1.2,4200,270,37.0,99.97,459.6,EMS,2024-03-05 08:00:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_dc
DC-PUE-2024-0051,SITE-DC05,구미 데이터센터,2024,3,3777778,3161321,616457,0,1.195,1.1711,1.2,4200,270,37.0,99.97,459.6,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
DC-PUE-2024-0052,SITE-DC05,구미 데이터센터,2024,4,3620370,3029598,590772,0,1.195,1.1711,1.2,4200,270,37.0,99.97,459.6,EMS,2024-05-05 08:00:00,2024-05-05 09:00:00,2024-05-10 10:00:00,user_dc
DC-PUE-2024-0053,SITE-DC05,구미 데이터센터,2024,5,3738426,3128390,610036,0,1.195,1.1711,1.2,4200,270,37.0,99.97,459.6,EMS,2024-06-05 08:00:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_dc
DC-PUE-2024-0054,SITE-DC05,구미 데이터센터,2024,6,4250000,3503710,746290,0,1.213,1.1887,1.6,4200,270,37.0,99.95,459.6,EMS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 10:00:00,user_dc
DC-PUE-2024-0055,SITE-DC05,구미 데이터센터,2024,7,4525463,3730802,794661,0,1.213,1.1887,1.6,4200,270,37.0,99.95,459.6,EMS,2024-08-05 08:00:00,2024-08-05 09:00:00,2024-08-10 10:00:00,user_dc
DC-PUE-2024-0056,SITE-DC05,구미 데이터센터,2024,8,4486111,3698360,787751,0,1.213,1.1887,1.6,4200,270,37.0,99.95,459.6,EMS,2024-09-05 08:00:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_dc
DC-PUE-2024-0057,SITE-DC05,구미 데이터센터,2024,9,3856481,3227181,629300,0,1.195,1.1711,1.2,4200,270,37.0,99.97,459.6,EMS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 10:00:00,user_dc
DC-PUE-2024-0058,SITE-DC05,구미 데이터센터,2024,10,3738426,3128390,610036,0,1.195,1.1711,1.2,4200,270,37.0,99.97,459.6,EMS,2024-11-05 08:00:00,2024-11-05 09:00:00,2024-11-10 10:00:00,user_dc
DC-PUE-2024-0059,SITE-DC05,구미 데이터센터,2024,11,3856481,3227181,629300,0,1.195,1.1711,1.2,4200,270,37.0,99.97,459.6,EMS,2024-12-05 08:00:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_dc
DC-PUE-2024-0060,SITE-DC05,구미 데이터센터,2024,12,4013889,3387248,626641,0,1.185,1.1613,1.2,4200,270,37.0,99.97,459.6,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 10:00:00,user_dc
