record_id,site_code,site_name,site_type,year,month,energy_type,energy_source,usage_amount,usage_unit,renewable_kwh,renewable_ratio,pue_monthly,it_load_kw,cooling_power_kwh,cost_krw,meter_id,data_quality,source_system,synced_at,created_at,updated_at,updated_by,non_renewable_kwh,grid_emission_factor_market,grid_emission_factor_location,energy_supplier_id,rec_purchased_kwh,ppa_kwh,ghg_market_tco2e,ghg_location_tco2e,consumption_kwh,facility,ghg_raw_category
EMS-OH-2024-DSL-04,SITE-OH01,오픈핸즈 본사,오피스,2024,4,경유(차량),법인차량,380.0,L,0,0.0,,,,0,MTR-SITE-OH01-DSL-04,M1,EMS,2024-04-05 08:00:00,2024-04-05 08:00:00,2024-03-10 10:00:00,user_001,0.0,,,SUP-FUEL-001,0,0,0,0,0.0,오픈핸즈 본사,energy
EMS-OH-2024-GAS-05,SITE-OH01,오픈핸즈 본사,오피스,2024,5,도시가스,지역도시가스,2100.0,Nm³,0,0.0,,,,0,MTR-SITE-OH01-GAS-05,M1,EMS,2024-05-05 08:00:00,2024-05-05 08:00:00,2024-03-10 10:00:00,user_001,0.0,,,SUP-GAS-001,0,0,0,0,0.0,오픈핸즈 본사,energy
EMS-OH-2024-DSL-05,SITE-OH01,오픈핸즈 본사,오피스,2024,5,경유(차량),법인차량,380.0,L,0,0.0,,,,0,MTR-SITE-OH01-DSL-05,M1,EMS,2024-05-05 08:00:00,2024-05-05 08:00:00,2024-03-10 10:00:00,user_001,0.0,,,SUP-FUEL-001,0,0,0,0,0.0,오픈핸즈 본사,energy
EMS-OH-2024-GAS-06,SITE-OH01,오픈핸즈 본사,오피스,2024,6,도시가스,지역도시가스,2100.0,Nm³,0,0.0,,,,0,MTR-SITE-OH01-GAS-06,M1,EMS,2024-06-05 08:00:00,2024-06-05 08:00:00,2024-03-10 10:00:00,user_001,0.0,,,SUP-GAS-001,0,0,0,0,0.0,오픈핸즈 본사,energy
EMS-OH-2024-DSL-06,SITE-OH01,오픈핸즈 본사,오피스,2024,6,경유(차량),법인차량,380.0,L,0,0.0,,,,0,MTR-SITE-OH01-DSL-06,M1,EMS,2024-06-05 08:00:00,2024-06-05 08:00:00,2024-03-10 10:00:00,user_001,0.0,,,SUP-FUEL-001,0,0,0,0,0.0,오픈핸즈 본사,energy
EMS-OH-2024-GAS-07,SITE-OH01,오픈핸즈 본사,오피스,2024,7,도시가스,지역도시가스,2100.0,Nm³,0,0.0,,,,0,MTR-SITE-OH01-GAS-07,M1,EMS,2024-07-05 08:00:00,2024-07-05 08:00:00,2024-03-10 10:00:00,user_001,0.0,,,SUP-GAS-001,0,0,0,0,0.0,오픈핸즈 본사,energy
EMS-OH-2024-DSL-07,SITE-OH01,오픈핸즈 본사,오피스,2024,7,경유(차량),법인차량,380.0,L,0,0.0,,,,0,MTR-SITE-OH01-DSL-07,M1,EMS,2024-07-05 08:00:00,2024-07-05 08:00:00,2024-03-10 10:00:00,user_001,0.0,,,SUP-FUEL-001,0,0,0,0,0.0,오픈핸즈 본사,energy
EMS-OH-2024-GAS-08,SITE-OH01,오픈핸즈 본사,오피스,2024,8,도시가스,지역도시가스,2100.0,Nm³,0,0.0,,,,0,MTR-SITE-OH01-GAS-08,M1,EMS,2024-08-05 08:00:00,2024-08-05 08:00:00,2024-03-10 10:00:00,user_001,0.0,,,SUP-GAS-001,0,0,0,0,0.0,오픈핸즈 본사,energy
EMS-OH-2024-DSL-08,SITE-OH01,오픈핸즈 본사,오피스,2024,8,경유(차량),법인차량,380.0,L,0,0.0,,,,0,MTR-SITE-OH01-DSL-08,M1,EMS,2024-08-05 08:00:00,2024-08-05 08:00:00,2024-03-10 10:00:00,user_001,0.0,,,SUP-FUEL-001,0,0,0,0,0.0,오픈핸즈 본사,energy
EMS-OH-2024-GAS-09,SITE-OH01,오픈핸즈 본사,오피스,2024,9,도시가스,지역도시가스,2100.0,Nm³,0,0.0,,,,0,MTR-SITE-OH01-GAS-09,M1,EMS,2024-09-05 08:00:00,2024-09-05 08:00:00,2024-03-10 10:00:00,user_001,0.0,,,SUP-GAS-001,0,0,0,0,0.0,오픈핸즈 본사,energy
EMS-OH-2024-DSL-09,SITE-OH01,오픈핸즈 본사,오피스,2024,9,경유(차량),법인차량,380.0,L,0,0.0,,,,0,MTR-SITE-OH01-DSL-09,M1,EMS,2024-09-05 08:00:00,2024-09-05 08:00:00,2024-03-10 10:00:00,user_001,0.0,,,SUP-FUEL-001,0,0,0,0,0.0,오픈핸즈 본사,energy
EMS-OH-2024-GAS-10,SITE-OH01,오픈핸즈 본사,오피스,2024,10,도시가스,지역도시가스,2100.0,Nm³,0,0.0,,,,0,MTR-SITE-OH01-GAS-10,M1,EMS,2024-10-05 08:00:00,2024-10-05 08:00:00,2024-03-10 10:00:00,user_001,0.0,,,SUP-GAS-001,0,0,0,0,0.0,오픈핸즈 본사,energy
EMS-OH-2024-DSL-10,SITE-OH01,오픈핸즈 본사,오피스,2024,10,경유(차량),법인차량,380.0,L,0,0.0,,,,0,MTR-SITE-OH01-DSL-10,M1,EMS,2024-10-05 08:00:00,2024-10-05 08:00:00,2024-03-10 10:00:00,user_001,0.0,,,SUP-FUEL-001,0,0,0,0,0.0,오픈핸즈 본사,energy
EMS-OH-2024-GAS-11,SITE-OH01,오픈핸즈 본사,오피스,2024,11,도시가스,지역도시가스,2100.0,Nm³,0,0.0,,,,0,MTR-SITE-OH01-GAS-11,M1,EMS,2024-11-05 08:00:00,2024-11-05 08:00:00,2024-03-10 10:00:00,user_001,0.0,,,SUP-GAS-001,0,0,0,0,0.0,오픈핸즈 본사,energy
EMS-OH-2024-DSL-11,SITE-OH01,오픈핸즈 본사,오피스,2024,11,경유(차량),법인차량,380.0,L,0,0.0,,,,0,MTR-SITE-OH01-DSL-11,M1,EMS,2024-11-05 08:00:00,2024-11-05 08:00:00,2024-03-10 10:00:00,user_001,0.0,,,SUP-FUEL-001,0,0,0,0,0.0,오픈핸즈 본사,energy
EMS-OH-2024-GAS-12,SITE-OH01,오픈핸즈 본사,오피스,2024,12,도시가스,지역도시가스,2100.0,Nm³,0,0.0,,,,0,MTR-SITE-OH01-GAS-12,M1,EMS,2024-12-05 08:00:00,2024-12-05 08:00:00,2024-03-10 10:00:00,user_001,0.0,,,SUP-GAS-001,0,0,0,0,0.0,오픈핸즈 본사,energy
EMS-OH-2024-DSL-12,SITE-OH01,오픈핸즈 본사,오피스,2024,12,경유(차량),법인차량,380.0,L,0,0.0,,,,0,MTR-SITE-OH01-DSL-12,M1,EMS,2024-12-05 08:00:00,2024-12-05 08:00:00,2024-03-10 10:00:00,user_001,0.0,,,SUP-FUEL-001,0,0,0,0,0.0,오픈핸즈 본사,energy
