site_code,site_name,company_id,company_name,year,month,energy_type,consumption_kwh,emission_factor,emission_tco2e,facility,usage_amount,usage_unit,ghg_raw_category
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,12,전력,542759.2013471253,0.4157,225.62,미라콤 서울,542759.2013471253,kWh,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,1,도시가스,0,,,미라콤 서울,2400.0,Nm³,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,1,경유(차량),0,,,미라콤 서울,490.0,L,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,2,도시가스,0,,,미라콤 서울,2400.0,Nm³,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,2,경유(차량),0,,,미라콤 서울,490.0,L,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,3,도시가스,0,,,미라콤 서울,2400.0,Nm³,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,3,경유(차량),0,,,미라콤 서울,490.0,L,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,4,도시가스,0,,,미라콤 서울,2400.0,Nm³,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,4,경유(차량),0,,,미라콤 서울,490.0,L,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,5,도시가스,0,,,미라콤 서울,2400.0,Nm³,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,5,경유(차량),0,,,미라콤 서울,490.0,L,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,6,도시가스,0,,,미라콤 서울,2400.0,Nm³,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,6,경유(차량),0,,,미라콤 서울,490.0,L,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,7,도시가스,0,,,미라콤 서울,2400.0,Nm³,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,7,경유(차량),0,,,미라콤 서울,490.0,L,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,8,도시가스,0,,,미라콤 서울,2400.0,Nm³,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,8,경유(차량),0,,,미라콤 서울,490.0,L,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,9,도시가스,0,,,미라콤 서울,2400.0,Nm³,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,9,경유(차량),0,,,미라콤 서울,490.0,L,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,10,도시가스,0,,,미라콤 서울,2400.0,Nm³,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,10,경유(차량),0,,,미라콤 서울,490.0,L,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,11,도시가스,0,,,미라콤 서울,2400.0,Nm³,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,11,경유(차량),0,,,미라콤 서울,490.0,L,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,12,도시가스,0,,,미라콤 서울,2400.0,Nm³,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,12,경유(차량),0,,,미라콤 서울,490.0,L,energy
