record_id,site_code,site_name,year,quarter,discharge_point,wastewater_type,discharge_volume_m3,bod_mg_l,cod_mg_l,ss_mg_l,tn_mg_l,tp_mg_l,tds_mg_l,ph,temperature_c,chlorine_mg_l,regulatory_limit_bod,compliance_status,treatment_method,discharge_destination,source_system,synced_at,created_at,updated_at,updated_by
EHS-WW-2024-014,SITE-DC04,춘천 데이터센터,2024,2,방류구-04-01,냉각탑 블로우다운,2400,5.0,8.2,2.9,4.0,0.2,820,7.2,22.5,1.1,30.0,준수,물리화학적 처리,공공하수처리시설,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-WW-2024-015,SITE-DC04,춘천 데이터센터,2024,3,방류구-04-01,냉각탑 블로우다운,2520,5.0,8.2,2.9,4.0,0.2,820,7.2,22.5,1.1,30.0,준수,물리화학적 처리,공공하수처리시설,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-WW-2024-016,SITE-DC04,춘천 데이터센터,2024,4,방류구-04-01,냉각탑 블로우다운,2640,5.0,8.2,2.9,4.0,0.2,820,7.2,22.5,1.1,30.0,준수,물리화학적 처리,공공하수처리시설,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
EHS-WW-2024-017,SITE-DC05,판교 데이터센터,2024,1,방류구-05-01,냉각탑 블로우다운,1520,5.8,9.5,3.5,4.8,0.4,960,7.2,22.5,1.4,30.0,준수,물리화학적 처리,공공하수처리시설,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-WW-2024-018,SITE-DC05,판교 데이터센터,2024,2,방류구-05-01,냉각탑 블로우다운,1600,5.8,9.5,3.5,4.8,0.4,960,7.2,22.5,1.4,30.0,준수,물리화학적 처리,공공하수처리시설,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-WW-2024-019,SITE-DC05,판교 데이터센터,2024,3,방류구-05-01,냉각탑 블로우다운,1680,5.8,9.5,3.5,4.8,0.4,960,7.2,22.5,1.4,30.0,준수,물리화학적 처리,공공하수처리시설,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-WW-2024-020,SITE-DC05,판교 데이터센터,2024,4,방류구-05-01,냉각탑 블로우다운,1760,5.8,9.5,3.5,4.8,0.4,960,7.2,22.5,1.4,30.0,준수,물리화학적 처리,공공하수처리시설,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
EHS-WW-2024-021,SITE-OF01,잠실 본사,2024,1,방류구-01-01,생활하수,4560,18.5,28.2,12.5,22.0,2.1,280,7.2,22.5,0.1,30.0,준수,생물학적 처리,공공하수처리시설,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-WW-2024-022,SITE-OF01,잠실 본사,2024,2,방류구-01-01,생활하수,4800,18.5,28.2,12.5,22.0,2.1,280,7.2,22.5,0.1,30.0,준수,생물학적 처리,공공하수처리시설,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-WW-2024-023,SITE-OF01,잠실 본사,2024,3,방류구-01-01,생활하수,5040,18.5,28.2,12.5,22.0,2.1,280,7.2,22.5,0.1,30.0,준수,생물학적 처리,공공하수처리시설,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-WW-2024-024,SITE-OF01,잠실 본사,2024,4,방류구-01-01,생활하수,5280,18.5,28.2,12.5,22.0,2.1,280,7.2,22.5,0.1,30.0,준수,생물학적 처리,공공하수처리시설,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
EHS-WW-2024-025,SITE-OF02,수원 오피스,2024,1,방류구-02-01,생활하수,2755,17.2,26.8,11.8,20.5,1.9,265,7.2,22.5,0.1,30.0,준수,생물학적 처리,공공하수처리시설,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-WW-2024-026,SITE-OF02,수원 오피스,2024,2,방류구-02-01,생활하수,2900,17.2,26.8,11.8,20.5,1.9,265,7.2,22.5,0.1,30.0,준수,생물학적 처리,공공하수처리시설,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-WW-2024-027,SITE-OF02,수원 오피스,2024,3,방류구-02-01,생활하수,3045,17.2,26.8,11.8,20.5,1.9,265,7.2,22.5,0.1,30.0,준수,생물학적 처리,공공하수처리시설,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-WW-2024-028,SITE-OF02,수원 오피스,2024,4,방류구-02-01,생활하수,3190,17.2,26.8,11.8,20.5,1.9,265,7.2,22.5,0.1,30.0,준수,생물학적 처리,공공하수처리시설,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
EHS-WW-2024-029,SITE-OF03,구미 오피스,2024,1,방류구-03-01,생활하수,1045,16.8,25.5,11.2,19.8,1.8,255,7.2,22.5,0.1,30.0,준수,생물학적 처리,공공하수처리시설,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-WW-2024-030,SITE-OF03,구미 오피스,2024,2,방류구-03-01,생활하수,1100,16.8,25.5,11.2,19.8,1.8,255,7.2,22.5,0.1,30.0,준수,생물학적 처리,공공하수처리시설,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-WW-2024-031,SITE-OF03,구미 오피스,2024,3,방류구-03-01,생활하수,1155,16.8,25.5,11.2,19.8,1.8,255,7.2,22.5,0.1,30.0,준수,생물학적 처리,공공하수처리시설,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-WW-2024-032,SITE-OF03,구미 오피스,2024,4,방류구-03-01,생활하수,1210,16.8,25.5,11.2,19.8,1.8,255,7.2,22.5,0.1,30.0,준수,생물학적 처리,공공하수처리시설,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
