record_id,site_code,site_name,year,quarter,chemical_name,chemical_category,cas_number,usage_amount_kg,unit,storage_amount_kg,usage_purpose,hazard_class,msds_yn,regulatory_yn,regulatory_basis,cost_krw,source_system,synced_at,created_at,updated_at,updated_by
EHS-CH-2024-0035,SITE-DC01,수원 데이터센터,2024,4,HFC-125소화약제,소화약제,354-33-6,247.5,kg,74.2,청정소화(FM-200),2,Y,Y,오존층보호법,297000,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
EHS-CH-2024-0036,SITE-DC01,수원 데이터센터,2024,4,황산(배터리용),전해질,7664-93-9,48.1,kg,14.4,UPS 납축전지,8,Y,Y,화학물질관리법,57720,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
EHS-CH-2024-0037,SITE-DC01,수원 데이터센터,2024,4,수산화나트륨,pH조정제,1310-73-2,38.5,kg,11.5,순수제조 pH 조정,8,Y,Y,산업안전보건법,46200,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
EHS-CH-2024-0038,SITE-DC01,수원 데이터센터,2024,4,염산,pH조정제,7647-01-0,30.3,kg,9.1,역삼투 세정,8,Y,Y,화학물질관리법,36360,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
EHS-CH-2024-0039,SITE-DC01,수원 데이터센터,2024,4,활성탄,여과재,7440-44-0,522.5,kg,156.8,순수 전처리 여과,0,Y,N,,627000,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
EHS-CH-2024-0040,SITE-DC01,수원 데이터센터,2024,4,이온교환수지,정수소재,9002-23-7,130.6,kg,39.2,탈이온수 제조,0,Y,N,,156720,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
EHS-CH-2024-0041,SITE-DC02,동탄 데이터센터,2024,1,스케일억제제(HEDP),수처리제,2809-21-4,88.8,kg,26.6,냉각탑 스케일 방지,3,Y,N,,106560,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0042,SITE-DC02,동탄 데이터센터,2024,1,부식억제제(MBT),수처리제,583-39-1,43.9,kg,13.2,냉각배관 부식 방지,3,Y,N,,52680,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0043,SITE-DC02,동탄 데이터센터,2024,1,차아염소산나트륨,살균소독제,7681-52-9,125.4,L,37.6,냉각수 레지오넬라 방지,8,Y,Y,산업안전보건법,100320,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0044,SITE-DC02,동탄 데이터센터,2024,1,이산화탄소(CO2),소화약제,124-38-9,261.2,kg,78.4,가스계 소화설비,2,Y,N,,313440,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0045,SITE-DC02,동탄 데이터센터,2024,1,HFC-125소화약제,소화약제,354-33-6,188.1,kg,56.4,청정소화(FM-200),2,Y,Y,오존층보호법,225720,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0046,SITE-DC02,동탄 데이터센터,2024,1,황산(배터리용),전해질,7664-93-9,36.6,kg,11.0,UPS 납축전지,8,Y,Y,화학물질관리법,43920,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0047,SITE-DC02,동탄 데이터센터,2024,1,수산화나트륨,pH조정제,1310-73-2,29.3,kg,8.8,순수제조 pH 조정,8,Y,Y,산업안전보건법,35160,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0048,SITE-DC02,동탄 데이터센터,2024,1,염산,pH조정제,7647-01-0,23.0,kg,6.9,역삼투 세정,8,Y,Y,화학물질관리법,27600,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0049,SITE-DC02,동탄 데이터센터,2024,1,활성탄,여과재,7440-44-0,397.1,kg,119.1,순수 전처리 여과,0,Y,N,,476520,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0050,SITE-DC02,동탄 데이터센터,2024,1,이온교환수지,정수소재,9002-23-7,99.3,kg,29.8,탈이온수 제조,0,Y,N,,119160,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0051,SITE-DC02,동탄 데이터센터,2024,2,스케일억제제(HEDP),수처리제,2809-21-4,93.5,kg,28.1,냉각탑 스케일 방지,3,Y,N,,112200,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-CH-2024-0052,SITE-DC02,동탄 데이터센터,2024,2,부식억제제(MBT),수처리제,583-39-1,46.2,kg,13.9,냉각배관 부식 방지,3,Y,N,,55440,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-CH-2024-0053,SITE-DC02,동탄 데이터센터,2024,2,차아염소산나트륨,살균소독제,7681-52-9,132.0,L,39.6,냉각수 레지오넬라 방지,8,Y,Y,산업안전보건법,105600,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-CH-2024-0054,SITE-DC02,동탄 데이터센터,2024,2,이산화탄소(CO2),소화약제,124-38-9,275.0,kg,82.5,가스계 소화설비,2,Y,N,,330000,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-CH-2024-0055,SITE-DC02,동탄 데이터센터,2024,2,HFC-125소화약제,소화약제,354-33-6,198.0,kg,59.4,청정소화(FM-200),2,Y,Y,오존층보호법,237600,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-CH-2024-0056,SITE-DC02,동탄 데이터센터,2024,2,황산(배터리용),전해질,7664-93-9,38.5,kg,11.5,UPS 납축전지,8,Y,Y,화학물질관리법,46200,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-CH-2024-0057,SITE-DC02,동탄 데이터센터,2024,2,수산화나트륨,pH조정제,1310-73-2,30.8,kg,9.2,순수제조 pH 조정,8,Y,Y,산업안전보건법,36960,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-CH-2024-0058,SITE-DC02,동탄 데이터센터,2024,2,염산,pH조정제,7647-01-0,24.2,kg,7.3,역삼투 세정,8,Y,Y,화학물질관리법,29040,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-CH-2024-0059,SITE-DC02,동탄 데이터센터,2024,2,활성탄,여과재,7440-44-0,418.0,kg,125.4,순수 전처리 여과,0,Y,N,,501600,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-CH-2024-0060,SITE-DC02,동탄 데이터센터,2024,2,이온교환수지,정수소재,9002-23-7,104.5,kg,31.3,탈이온수 제조,0,Y,N,,125400,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-CH-2024-0061,SITE-DC02,동탄 데이터센터,2024,3,스케일억제제(HEDP),수처리제,2809-21-4,98.2,kg,29.5,냉각탑 스케일 방지,3,Y,N,,117840,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-CH-2024-0062,SITE-DC02,동탄 데이터센터,2024,3,부식억제제(MBT),수처리제,583-39-1,48.5,kg,14.5,냉각배관 부식 방지,3,Y,N,,58200,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-CH-2024-0063,SITE-DC02,동탄 데이터센터,2024,3,차아염소산나트륨,살균소독제,7681-52-9,138.6,L,41.6,냉각수 레지오넬라 방지,8,Y,Y,산업안전보건법,110880,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-CH-2024-0064,SITE-DC02,동탄 데이터센터,2024,3,이산화탄소(CO2),소화약제,124-38-9,288.8,kg,86.6,가스계 소화설비,2,Y,N,,346560,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-CH-2024-0065,SITE-DC02,동탄 데이터센터,2024,3,HFC-125소화약제,소화약제,354-33-6,207.9,kg,62.4,청정소화(FM-200),2,Y,Y,오존층보호법,249480,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-CH-2024-0066,SITE-DC02,동탄 데이터센터,2024,3,황산(배터리용),전해질,7664-93-9,40.4,kg,12.1,UPS 납축전지,8,Y,Y,화학물질관리법,48480,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-CH-2024-0067,SITE-DC02,동탄 데이터센터,2024,3,수산화나트륨,pH조정제,1310-73-2,32.3,kg,9.7,순수제조 pH 조정,8,Y,Y,산업안전보건법,38760,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-CH-2024-0068,SITE-DC02,동탄 데이터센터,2024,3,염산,pH조정제,7647-01-0,25.4,kg,7.6,역삼투 세정,8,Y,Y,화학물질관리법,30480,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-CH-2024-0069,SITE-DC02,동탄 데이터센터,2024,3,활성탄,여과재,7440-44-0,438.9,kg,131.7,순수 전처리 여과,0,Y,N,,526680,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-CH-2024-0070,SITE-DC02,동탄 데이터센터,2024,3,이온교환수지,정수소재,9002-23-7,109.7,kg,32.9,탈이온수 제조,0,Y,N,,131640,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-CH-2024-0071,SITE-DC02,동탄 데이터센터,2024,4,스케일억제제(HEDP),수처리제,2809-21-4,102.9,kg,30.9,냉각탑 스케일 방지,3,Y,N,,123480,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
EHS-CH-2024-0072,SITE-DC02,동탄 데이터센터,2024,4,부식억제제(MBT),수처리제,583-39-1,50.8,kg,15.2,냉각배관 부식 방지,3,Y,N,,60960,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
EHS-CH-2024-0073,SITE-DC02,동탄 데이터센터,2024,4,차아염소산나트륨,살균소독제,7681-52-9,145.2,L,43.6,냉각수 레지오넬라 방지,8,Y,Y,산업안전보건법,116160,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
EHS-CH-2024-0074,SITE-DC02,동탄 데이터센터,2024,4,이산화탄소(CO2),소화약제,124-38-9,302.5,kg,90.8,가스계 소화설비,2,Y,N,,363000,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
EHS-CH-2024-0075,SITE-DC02,동탄 데이터센터,2024,4,HFC-125소화약제,소화약제,354-33-6,217.8,kg,65.3,청정소화(FM-200),2,Y,Y,오존층보호법,261360,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
EHS-CH-2024-0076,SITE-DC02,동탄 데이터센터,2024,4,황산(배터리용),전해질,7664-93-9,42.4,kg,12.7,UPS 납축전지,8,Y,Y,화학물질관리법,50880,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
EHS-CH-2024-0077,SITE-DC02,동탄 데이터센터,2024,4,수산화나트륨,pH조정제,1310-73-2,33.9,kg,10.2,순수제조 pH 조정,8,Y,Y,산업안전보건법,40680,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
EHS-CH-2024-0078,SITE-DC02,동탄 데이터센터,2024,4,염산,pH조정제,7647-01-0,26.6,kg,8.0,역삼투 세정,8,Y,Y,화학물질관리법,31920,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
EHS-CH-2024-0079,SITE-DC02,동탄 데이터센터,2024,4,활성탄,여과재,7440-44-0,459.8,kg,137.9,순수 전처리 여과,0,Y,N,,551760,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
EHS-CH-2024-0080,SITE-DC02,동탄 데이터센터,2024,4,이온교환수지,정수소재,9002-23-7,115.0,kg,34.5,탈이온수 제조,0,Y,N,,138000,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
EHS-CH-2024-0081,SITE-DC03,상암 데이터센터,2024,1,스케일억제제(HEDP),수처리제,2809-21-4,64.6,kg,19.4,냉각탑 스케일 방지,3,Y,N,,77520,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0082,SITE-DC03,상암 데이터센터,2024,1,부식억제제(MBT),수처리제,583-39-1,31.9,kg,9.6,냉각배관 부식 방지,3,Y,N,,38280,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0083,SITE-DC03,상암 데이터센터,2024,1,차아염소산나트륨,살균소독제,7681-52-9,91.2,L,27.4,냉각수 레지오넬라 방지,8,Y,Y,산업안전보건법,72960,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0084,SITE-DC03,상암 데이터센터,2024,1,이산화탄소(CO2),소화약제,124-38-9,190.0,kg,57.0,가스계 소화설비,2,Y,N,,228000,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0085,SITE-DC03,상암 데이터센터,2024,1,HFC-125소화약제,소화약제,354-33-6,136.8,kg,41.0,청정소화(FM-200),2,Y,Y,오존층보호법,164160,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0086,SITE-DC03,상암 데이터센터,2024,1,황산(배터리용),전해질,7664-93-9,26.6,kg,8.0,UPS 납축전지,8,Y,Y,화학물질관리법,31920,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0087,SITE-DC03,상암 데이터센터,2024,1,수산화나트륨,pH조정제,1310-73-2,21.3,kg,6.4,순수제조 pH 조정,8,Y,Y,산업안전보건법,25560,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0088,SITE-DC03,상암 데이터센터,2024,1,염산,pH조정제,7647-01-0,16.7,kg,5.0,역삼투 세정,8,Y,Y,화학물질관리법,20040,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0089,SITE-DC03,상암 데이터센터,2024,1,활성탄,여과재,7440-44-0,288.8,kg,86.6,순수 전처리 여과,0,Y,N,,346560,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0090,SITE-DC03,상암 데이터센터,2024,1,이온교환수지,정수소재,9002-23-7,72.2,kg,21.7,탈이온수 제조,0,Y,N,,86640,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0091,SITE-DC03,상암 데이터센터,2024,2,스케일억제제(HEDP),수처리제,2809-21-4,68.0,kg,20.4,냉각탑 스케일 방지,3,Y,N,,81600,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-CH-2024-0092,SITE-DC03,상암 데이터센터,2024,2,부식억제제(MBT),수처리제,583-39-1,33.6,kg,10.1,냉각배관 부식 방지,3,Y,N,,40320,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-CH-2024-0093,SITE-DC03,상암 데이터센터,2024,2,차아염소산나트륨,살균소독제,7681-52-9,96.0,L,28.8,냉각수 레지오넬라 방지,8,Y,Y,산업안전보건법,76800,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-CH-2024-0094,SITE-DC03,상암 데이터센터,2024,2,이산화탄소(CO2),소화약제,124-38-9,200.0,kg,60.0,가스계 소화설비,2,Y,N,,240000,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-CH-2024-0095,SITE-DC03,상암 데이터센터,2024,2,HFC-125소화약제,소화약제,354-33-6,144.0,kg,43.2,청정소화(FM-200),2,Y,Y,오존층보호법,172800,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-CH-2024-0096,SITE-DC03,상암 데이터센터,2024,2,황산(배터리용),전해질,7664-93-9,28.0,kg,8.4,UPS 납축전지,8,Y,Y,화학물질관리법,33600,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-CH-2024-0097,SITE-DC03,상암 데이터센터,2024,2,수산화나트륨,pH조정제,1310-73-2,22.4,kg,6.7,순수제조 pH 조정,8,Y,Y,산업안전보건법,26880,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-CH-2024-0098,SITE-DC03,상암 데이터센터,2024,2,염산,pH조정제,7647-01-0,17.6,kg,5.3,역삼투 세정,8,Y,Y,화학물질관리법,21120,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
